relevamiento_id|cui_id |
---------------+-------+
            130|4200079|
            139|4200053|
            160|4200607|
            182|4200403|
            185|4200091|
            202|4200572|
            216|4200047|
            218|4200061|
            223|4200602|
            230|4200092|
            243|4200456|
            253|4200075|
            259|4200342|
            260|4200038|
            265|4200042|
            269|4200040|
            272|4200341|
            276|4200115|
            290|4200120|
            291|4200102|
            301|4200015|
